id_from,id_to,order,x_from,y_from,x_to,y_to
1506,1002,1,83.0794,20.04661,81.59129,19.24956
1024,1009,1,79.21817,22.84824,79.63739,23.76042
1014,1011,1,76.58869,21.69804,76.52256,22.67308
1109,1012,1,74.46512,21.26203,75.16582,22.46059
1027,1013,1,82.46889,21.05608,81.32627,21.26995
1045,1014,1,75.51046,21.81312,76.58869,21.69804
1107,1014,1,76.48841,20.44085,76.58869,21.69804
1112,1014,1,75.53735,20.86998,76.58869,21.69804
1021,1019,1,80.90443,22.69803,80.30684,23.42609
1019,1021,1,80.30684,23.42609,80.90443,22.69803
1017,1024,1,77.81049,22.38259,79.21817,22.84824
1028,1024,1,78.20587,23.12694,79.21817,22.84824
1013,1027,1,81.32627,21.26995,82.46889,21.05608
1036,1028,1,77.28717,23.0446,78.20587,23.12694
1011,1036,1,76.52256,22.67308,77.28717,23.0446
1006,1038,1,82.50162,22.346,81.47362,23.44278
1004,1040,1,78.77831,26.35892,77.897,25.26177
1041,1041,1,82.29035,24.21751,82.29035,24.21751
1038,1041,1,81.47362,23.44278,82.29035,24.21751
2141,1041,1,83.0159,24.69676,82.29035,24.21751
2128,1042,1,79.89588,25.55409,79.09722,24.94068
1031,1043,1,75.16381,23.44083,75.74525,23.24383
1012,1045,1,75.16582,22.46059,75.51046,21.81312
1103,1102,1,77.70041,21.13563,77.26633,20.46873
1130,1102,1,78.34038,20.02906,77.26633,20.46873
1129,1103,1,78.75904,20.74911,77.70041,21.13563
1002,1108,1,81.59129,19.24956,80.13202,19.91142
3201,1108,2,79.20456,19.21883,80.13202,19.91142
3515,1109,1,73.3594,21.19948,74.46512,21.26203
1102,1109,1,77.26633,20.46873,74.46512,21.26203
1125,1114,1,74.12142,17.64999,74.0676,16.46655
1108,1116,1,80.13202,19.91142,79.28184,21.14024
3904,1120,1,77.26767,17.8948,76.48874,18.24584
1121,1121,1,76.92018,19.42133,76.92018,19.42133
1117,1121,1,77.74759,19.07353,76.92018,19.42133
3201,1121,1,79.20456,19.21883,76.92018,19.42133
1127,1122,1,75.52845,17.75869,74.01813,18.56417
3910,1127,1,76.91079,17.0049,75.52845,17.75869
3905,1127,1,75.88293,16.51645,75.52845,17.75869
1108,1130,2,80.13202,19.91142,78.34038,20.02906
1503,1504,1,86.13021,20.55133,85.15361,20.91898
1501,1506,1,83.46086,20.78235,83.0794,20.04661
1509,1509,1,86.38347,21.91991,86.38347,21.91991
3436,1513,1,85.81518,22.58044,84.6309,22.09994
3428,1513,1,84.95271,23.14204,84.6309,22.09994
1504,1513,1,85.15361,20.91898,84.6309,22.09994
2101,1705,2,78.22629,27.01426,77.51285,26.97845
1004,1705,2,78.77831,26.35892,77.51285,26.97845
1703,1712,1,74.47372,23.46306,73.91156,23.67334
1720,1717,1,76.55582,24.99479,76.30516,24.27206
1040,1720,1,77.897,25.26177,76.55582,24.99479
1705,1720,1,77.51285,26.97845,76.55582,24.99479
1723,1725,1,76.79748,26.34342,75.76411,26.07556
3503,1726,1,72.01283,24.22021,72.90612,24.71479
1917,1902,1,78.67406,10.84702,77.29972,11.06883
1914,1902,3,78.17573,11.91458,77.29972,11.06883
4009,1902,1,76.5746,10.80239,77.29972,11.06883
1913,1907,1,78.39706,9.603162,77.80365,10.13599
1902,1908,1,77.29972,11.06883,76.65102,11.44562
1901,1909,1,79.93724,12.90973,79.08936,12.62728
1909,1914,1,79.08936,12.62728,78.17573,11.91458
1915,1914,1,79.34552,11.82426,78.17573,11.91458
1916,1917,1,79.42939,10.64944,78.67406,10.84702
2141,2103,2,83.0159,24.69676,81.92331,25.39702
1009,2108,1,79.63739,23.76042,80.87692,25.35996
2108,2108,1,80.87692,25.35996,80.87692,25.35996
2120,2109,1,82.41063,26.57983,81.40908,26.94083
2126,2109,1,82.16893,27.28645,81.40908,26.94083
2121,2113,1,79.62186,27.23097,78.9657,28.0825
1016,2113,1,78.20428,25.95193,78.9657,28.0825
2154,2115,2,78.55446,30.42417,79.45102,30.52176
2133,2119,2,80.08232,26.41814,79.33713,26.69699
2105,2120,1,83.24865,26.14552,82.41063,26.57983
2129,2121,1,80.19731,27.34675,79.62186,27.23097
2133,2121,1,80.08232,26.41814,79.62186,27.23097
2103,2122,1,81.92331,25.39702,80.86762,25.8852
2127,2126,1,83.3609,26.98942,82.16893,27.28645
2111,2126,1,82.76234,27.06276,82.16893,27.28645
2107,2127,1,84.12223,26.07393,83.3609,26.98942
2117,2127,1,83.85777,26.75271,83.3609,26.98942
2122,2128,2,80.86762,25.8852,79.89588,25.55409
2103,2128,2,81.92331,25.39702,79.89588,25.55409
2137,2129,1,80.95029,26.88267,80.19731,27.34675
2157,2131,1,83.09884,25.34741,82.65064,25.81658
3429,2131,1,84.09112,25.29891,82.65064,25.81658
2122,2133,1,80.86762,25.8852,80.08232,26.41814
2106,2135,1,81.57257,27.72301,80.64904,28.13506
2109,2135,1,81.40908,26.94083,80.64904,28.13506
2153,2137,1,82.09692,26.31928,80.95029,26.88267
2119,2139,1,79.33713,26.69699,77.76358,27.5377
2101,2139,1,78.22629,27.01426,77.76358,27.5377
3423,2141,1,84.17596,24.08069,83.0159,24.69676
2113,2142,1,78.9657,28.0825,78.59632,28.72776
2110,2142,1,79.44803,28.46019,78.59632,28.72776
3610,2143,1,76.76525,28.74308,77.62041,29.4012
2140,2143,1,77.6495,28.91963,77.62041,29.4012
2135,2146,1,80.64904,28.13506,80.25502,29.98687
2115,2146,1,79.45102,30.52176,80.25502,29.98687
2147,2148,1,81.90029,25.9211,81.27522,26.26412
2131,2148,2,82.65064,25.81658,81.27522,26.26412
2131,2153,1,82.65064,25.81658,82.09692,26.31928
2116,2154,1,77.96901,30.43319,78.55446,30.42417
2150,2154,1,77.74158,29.88239,78.55446,30.42417
2142,2154,1,78.59632,28.72776,78.55446,30.42417
2112,2154,1,78.40325,29.33681,78.55446,30.42417
2156,2154,1,78.58647,30.9738,78.55446,30.42417
2154,2156,1,78.55446,30.42417,78.58647,30.9738
3710,2156,1,77.4703,30.63696,78.58647,30.9738
2116,2156,2,77.96901,30.43319,78.58647,30.9738
2212,2202,1,88.18435,24.18442,87.85541,23.39344
2210,2205,1,88.05559,25.14756,88.37927,26.88174
2205,2205,1,88.37927,26.88174,88.37927,26.88174
2213,2207,1,88.51215,23.53091,88.07543,22.91795
2214,2214,1,86.3863,23.29494,86.3863,23.29494
2408,2402,1,92.55014,27.39587,93.12079,27.3023
3312,2404,1,94.91613,27.5256,96.56206,28.0606
3314,2406,3,94.34444,26.78559,95.56534,27.04495
3303,2406,2,95.07376,27.47259,95.56534,27.04495
3304,2408,1,92.59951,26.69781,92.55014,27.39587
2403,2409,1,95.07734,28.35755,94.55238,28.57839
2406,2411,1,95.56534,27.04495,96.41532,27.48777
3604,2701,1,77.23739,28.09199,77.1871,28.57598
3222,3201,1,79.81044,17.94902,79.20456,19.21883
3204,3202,2,78.7701,14.46712,77.54757,14.4892
3204,3202,1,78.7701,14.46712,77.54757,14.4892
3215,3204,1,79.7123,14.78452,78.7701,14.46712
3223,3209,1,81.39973,16.88367,80.76366,17.69282
3206,3212,2,80.05564,16.19362,78.14298,16.49138
3214,3212,1,79.2947,17.05844,78.14298,16.49138
3206,3214,1,80.05564,16.19362,79.2947,17.05844
3210,3214,2,80.79984,16.55104,79.2947,17.05844
3210,3214,1,80.79984,16.55104,79.2947,17.05844
1505,3219,1,84.51836,19.51371,83.85448,18.67758
3209,3222,1,80.76366,17.69282,79.81044,17.94902
3314,3303,1,94.34444,26.78559,95.07376,27.47259
3314,3303,2,94.34444,26.78559,95.07376,27.47259
2208,3305,1,89.07968,26.66806,90.23246,26.30925
2209,3305,1,89.3303,26.29888,90.23246,26.30925
3305,3306,1,90.23246,26.30925,91.21194,26.37882
3313,3311,1,92.82572,26.22522,92.90833,25.57889
3304,3312,2,92.59951,26.69781,94.91613,27.5256
3303,3312,1,95.07376,27.47259,94.91613,27.5256
3306,3313,1,91.21194,26.37882,92.82572,26.22522
3308,3314,1,93.54587,26.20019,94.34444,26.78559
3311,3315,1,92.90833,25.57889,92.74366,24.70811
3403,3419,1,86.89971,25.00909,86.25335,25.15271
3405,3420,1,86.04318,26.11189,85.3861,26.21504
3425,3423,1,85.28281,25.37753,84.17596,24.08069
3408,3423,1,84.88275,24.82558,84.17596,24.08069
3424,3424,1,84.59702,26.8886,84.59702,26.8886
3420,3424,1,85.3861,26.21504,84.59702,26.8886
2117,3424,2,83.85777,26.75271,84.59702,26.8886
3434,3424,1,84.57172,26.21703,84.59702,26.8886
3419,3425,1,86.25335,25.15271,85.28281,25.37753
1513,3428,1,84.6309,22.09994,84.95271,23.14204
1507,3436,1,85.67786,21.56107,85.81518,22.58044
1502,3436,1,86.79916,21.32839,85.81518,22.58044
3510,3501,1,72.94537,22.67293,72.27636,22.75157
3511,3503,1,72.35517,23.62986,72.01283,24.22021
3518,3504,1,73.56211,22.21733,73.22238,21.75388
1712,3510,1,73.91156,23.67334,72.94537,22.67293
3519,3515,1,73.11869,20.56278,73.3594,21.19948
3504,3518,1,73.22238,21.75388,73.56211,22.21733
3607,3601,1,76.85161,29.72223,77.13764,30.35027
2139,3604,1,77.76358,27.5377,77.23739,28.09199
2701,3610,1,77.1871,28.57598,76.76525,28.74308
3601,3710,1,77.13764,30.35027,77.4703,30.63696
3710,3711,2,77.4703,30.63696,77.00816,31.0031
1114,3905,1,74.0676,16.46655,75.88293,16.51645
3911,3906,1,76.16,12.93758,75.73339,13.38902
3918,3907,1,76.95487,13.36606,76.42682,14.14221
3202,3907,1,77.54757,14.4892,76.42682,14.14221
3916,3909,1,76.65481,15.81551,75.4923,15.11315
3212,3910,1,78.14298,16.49138,76.91079,17.0049
3915,3911,1,76.78744,12.02586,76.16,12.93758
3914,3911,1,76.85599,12.54001,76.16,12.93758
3915,3912,2,76.78744,12.02586,75.82824,12.27301
1914,3914,1,78.17573,11.91458,76.85599,12.54001
1914,3915,2,78.17573,11.91458,76.78744,12.02586
3909,3917,1,75.4923,15.11315,75.38787,13.99403
3912,4002,1,75.82824,12.27301,75.47615,12.09535
3915,4002,3,76.78744,12.02586,75.47615,12.09535
4006,4003,1,76.93148,9.794545,76.5763,10.06342
4001,4006,1,76.48494,9.428579,76.93148,9.794545
4007,4007,1,75.93038,11.53713,75.93038,11.53713
4008,4009,1,76.16312,11.14606,76.5746,10.80239
4012,4009,1,76.31745,10.48208,76.5746,10.80239
4003,4012,1,76.5763,10.06342,76.31745,10.48208
